Age	L	M	S	Gender
2.75	-1.07	15.959	0.08251	2
2.833	-1.075	15.931	0.08275	2
2.917	-1.08	15.905	0.08299	2
3	-1.084	15.881	0.08324	2
3.083	-1.089	15.858	0.08351	2
3.167	-1.094	15.836	0.08378	2
3.25	-1.1	15.815	0.08407	2
3.333	-1.105	15.796	0.08438	2
3.417	-1.111	15.777	0.08469	2
3.5	-1.116	15.759	0.08502	2
3.583	-1.122	15.741	0.08536	2
3.667	-1.128	15.724	0.08572	2
3.75	-1.134	15.707	0.08609	2
3.833	-1.14	15.69	0.08647	2
3.917	-1.145	15.673	0.08687	2
4	-1.151	15.656	0.08728	2
4.083	-1.157	15.639	0.0877	2
4.167	-1.163	15.622	0.08814	2
4.25	-1.169	15.605	0.0886	2
4.333	-1.175	15.589	0.08906	2
4.417	-1.181	15.573	0.08954	2
4.5	-1.187	15.557	0.09004	2
4.583	-1.193	15.542	0.09054	2
4.667	-1.198	15.528	0.09106	2
4.75	-1.204	15.515	0.0916	2
4.833	-1.209	15.503	0.09214	2
4.917	-1.215	15.492	0.0927	2
5	-1.22	15.483	0.09326	2
5.083	-1.225	15.475	0.09384	2
5.167	-1.231	15.468	0.09443	2
5.25	-1.236	15.463	0.09503	2
5.333	-1.241	15.46	0.09563	2
5.417	-1.245	15.457	0.09624	2
5.5	-1.25	15.457	0.09686	2
5.583	-1.255	15.458	0.09749	2
5.667	-1.26	15.461	0.09812	2
5.75	-1.264	15.465	0.09875	2
5.833	-1.269	15.47	0.0994	2
5.917	-1.273	15.477	0.10004	2
6	-1.277	15.485	0.10069	2
6.083	-1.281	15.494	0.10135	2
6.167	-1.286	15.506	0.102	2
6.25	-1.289	15.517	0.10266	2
6.333	-1.293	15.53	0.10332	2
6.417	-1.297	15.544	0.10397	2
6.5	-1.301	15.56	0.10463	2
6.583	-1.304	15.577	0.10529	2
6.667	-1.308	15.596	0.10595	2
6.75	-1.311	15.614	0.1066	2
6.833	-1.314	15.635	0.10725	2
6.917	-1.317	15.656	0.10789	2
7	-1.32	15.677	0.10854	2
7.083	-1.323	15.7	0.10918	2
7.167	-1.325	15.723	0.10981	2
7.25	-1.328	15.748	0.11044	2
7.333	-1.33	15.772	0.11106	2
7.417	-1.332	15.798	0.11167	2
7.5	-1.334	15.824	0.11228	2
7.583	-1.336	15.85	0.11288	2
7.667	-1.338	15.877	0.11346	2
7.75	-1.339	15.905	0.11404	2
7.833	-1.341	15.934	0.11461	2
7.917	-1.342	15.963	0.11517	2
8	-1.344	15.993	0.11572	2
8.083	-1.345	16.022	0.11625	2
8.167	-1.345	16.054	0.11679	2
8.25	-1.346	16.085	0.1173	2
8.333	-1.347	16.118	0.1178	2
8.417	-1.347	16.15	0.1183	2
8.5	-1.348	16.184	0.11879	2
8.583	-1.348	16.218	0.11926	2
8.667	-1.348	16.253	0.11972	2
8.75	-1.349	16.288	0.12017	2
8.833	-1.349	16.324	0.1206	2
8.917	-1.348	16.361	0.12103	2
9	-1.348	16.399	0.12144	2
9.083	-1.348	16.437	0.12185	2
9.167	-1.347	16.475	0.12223	2
9.25	-1.347	16.515	0.12261	2
9.333	-1.346	16.555	0.12298	2
9.417	-1.346	16.596	0.12333	2
9.5	-1.345	16.637	0.12367	2
9.583	-1.344	16.679	0.124	2
9.667	-1.343	16.722	0.12432	2
9.75	-1.342	16.765	0.12462	2
9.833	-1.341	16.809	0.12492	2
9.917	-1.34	16.853	0.1252	2
10	-1.339	16.898	0.12547	2
10.083	-1.338	16.943	0.12573	2
10.167	-1.337	16.99	0.12598	2
10.25	-1.336	17.036	0.12622	2
10.333	-1.334	17.083	0.12644	2
10.417	-1.333	17.131	0.12666	2
10.5	-1.332	17.179	0.12687	2
10.583	-1.33	17.227	0.12706	2
10.667	-1.329	17.277	0.12725	2
10.75	-1.327	17.327	0.12742	2
10.833	-1.326	17.377	0.12759	2
10.917	-1.324	17.427	0.12774	2
11	-1.322	17.478	0.12789	2
11.083	-1.321	17.53	0.12803	2
11.167	-1.319	17.581	0.12816	2
11.25	-1.318	17.634	0.12827	2
11.333	-1.316	17.687	0.12838	2
11.417	-1.314	17.739	0.12849	2
11.5	-1.312	17.793	0.12858	2
11.583	-1.311	17.846	0.12866	2
11.667	-1.309	17.9	0.12875	2
11.75	-1.307	17.954	0.12882	2
11.833	-1.306	18.008	0.12888	2
11.917	-1.304	18.062	0.12894	2
12	-1.302	18.117	0.12899	2
12.083	-1.3	18.172	0.12903	2
12.167	-1.299	18.227	0.12907	2
12.25	-1.297	18.281	0.1291	2
12.333	-1.295	18.337	0.12913	2
12.417	-1.293	18.391	0.12915	2
12.5	-1.291	18.446	0.12917	2
12.583	-1.29	18.5	0.12918	2
12.667	-1.288	18.555	0.12918	2
12.75	-1.286	18.61	0.12919	2
12.833	-1.284	18.664	0.12919	2
12.917	-1.283	18.718	0.12918	2
13	-1.281	18.772	0.12917	2
13.083	-1.279	18.825	0.12916	2
13.167	-1.277	18.88	0.12914	2
13.25	-1.276	18.932	0.12913	2
13.333	-1.274	18.985	0.1291	2
13.417	-1.272	19.038	0.12908	2
13.5	-1.271	19.09	0.12905	2
13.583	-1.269	19.142	0.12902	2
13.667	-1.267	19.194	0.12899	2
13.75	-1.266	19.244	0.12895	2
13.833	-1.264	19.295	0.12892	2
13.917	-1.262	19.345	0.12888	2
14	-1.261	19.395	0.12884	2
14.083	-1.259	19.445	0.12879	2
14.167	-1.258	19.493	0.12875	2
14.25	-1.256	19.542	0.1287	2
14.333	-1.254	19.589	0.12866	2
14.417	-1.253	19.637	0.12861	2
14.5	-1.251	19.684	0.12856	2
14.583	-1.25	19.73	0.12851	2
14.667	-1.248	19.776	0.12846	2
14.75	-1.247	19.822	0.1284	2
14.833	-1.245	19.866	0.12835	2
14.917	-1.244	19.911	0.1283	2
15	-1.242	19.955	0.12824	2
15.083	-1.241	19.998	0.12819	2
15.167	-1.239	20.041	0.12813	2
15.25	-1.238	20.083	0.12807	2
15.333	-1.236	20.124	0.12802	2
