Age	L	M	S	Gender
18.333	1	163.6	0.03693	2
18.417	1	163.61	0.03692	2
18.5	1	163.61	0.03692	2
18.583	1	163.62	0.03691	2
18.667	1	163.62	0.03691	2
18.75	1	163.62	0.03691	2
18.833	1	163.63	0.03691	2
18.917	1	163.63	0.03691	2
19	1	163.63	0.03691	2
19.083	1	163.63	0.03691	2
19.167	1	163.63	0.03691	2
19.25	1	163.63	0.03691	2
19.333	1	163.63	0.03691	2
19.417	1	163.63	0.03691	2
19.5	1	163.63	0.0369	2
19.583	1	163.63	0.0369	2
19.667	1	163.63	0.0369	2
19.75	1	163.63	0.0369	2
19.833	1	163.64	0.0369	2
19.917	1	163.64	0.0369	2
20	1	163.64	0.0369	2
20.083	1	163.64	0.0369	2
20.167	1	163.64	0.0369	2
20.25	1	163.65	0.03689	2
20.333	1	163.65	0.03689	2
20.417	1	163.65	0.03689	2
20.5	1	163.65	0.03689	2
20.583	1	163.65	0.03689	2
20.667	1	163.65	0.03689	2
20.75	1	163.65	0.03689	2
20.833	1	163.65	0.03689	2
20.917	1	163.65	0.03689	2
21	1	163.66	0.03689	2
21.083	1	163.66	0.03689	2
21.167	1	163.66	0.03689	2
21.25	1	163.67	0.03688	2
21.333	1	163.67	0.03688	2
21.417	1	163.68	0.03688	2
21.5	1	163.69	0.03687	2
21.583	1	163.69	0.03687	2
21.667	1	163.7	0.03687	2
21.75	1	163.71	0.03686	2
21.833	1	163.72	0.03686	2
21.917	1	163.73	0.03685	2
22	1	163.73	0.03685	2
22.083	1	163.74	0.03684	2
22.167	1	163.75	0.03684	2
22.25	1	163.76	0.03683	2
22.333	1	163.77	0.03683	2
22.417	1	163.78	0.03682	2
22.5	1	163.78	0.03682	2
22.583	1	163.79	0.03682	2
22.667	1	163.8	0.03681	2
22.75	1	163.8	0.03681	2
22.833	1	163.81	0.03681	2
22.917	1	163.82	0.0368	2
23	1	163.82	0.0368	2
